Word,Pronunciation
藏,{cong zong}
涌,{cung }
重,{cung zung cung}
重見,{cung zung cung} {gin jin}
重見天日,{cung zung cung} {gin jin} tin jat
重振,{cung zung cung} {zan }
處,{cyu cyu syu}
儲,{cyu cou}
串,{cyun gwaan}
傳,{cyun zyun}
打,{daa daa}
打雀,{daa daa} {zoek zoek*}
打爆,{daa daa} baau
打電報,{daa daa} din bou
打瓜,{daa daa} gwaa
打一身,{daa daa} jat san
打完,{daa daa} jyun
帶街,{daai daai*} gaai
帶眼鏡,{daai daai*} ngaan geng*
擔,{daam daam}
淡,{daam taam}
單,{daan sin sin}
彈,{daan daan taan}
彈鐘,{daan daan taan} zung
蛋,{daan daan*}
嗒,{daap taap daat}
嗒糖,{daap taap daat} {tong tong}
等,{dang ting ting dei}
耷,{dap daap}
竇,{dau dau}
嗲,{de de de}
嗲聲嗲氣,{de de de} {sing seng} {de de de} hei
地,{dei dei*}
呭呭哋,{dei dei*}
地除,{dei dei*} ceoi
釘,{deng ding}
頂,{deng ding}
隊,{deoi deoi}
掂,{dim dim dim}
掂晒,{dim dim dim} saai
掂咗,{dim dim dim} zo
訂,{ding deng}
定,{ding deng}
定要,{ding deng} {jiu jiu}
疊,{dip daap}
掉,{diu deu zaau}
調,{diu tiu}
調養,{diu tiu} joeng
袋,{doi doi*}
當,{dong dong}
當打,{dong dong} {daa daa}
當票,{dong dong} piu
當衰,{dong dong} seoi
檔,{dong dong}
倒,{dou dou}
到死,{dou dou*} sei
度,{dou dok dou}
度住,{dou dok dou} zyu
讀,{duk dau}
讀完,{duk dau} jyun
棟,{dung dung}
戙,{dung }
番,{faan pun}
番話,{faan pun} {waa waa}
瓣,{faan baan}
分,{fan fan}
分段,{fan fan} dyun
忿,{fan fan }
揈,{fang fing}
浮起,{fau pou} hei
父子,{fu fu} zi
覆,{fuk }
伏,{fuk buk}
風,{fung fung}
風塵女子,{fung fung} can neoi zi
風姿,{fung fung} zi
㗎,{gaa gaa gaa}
㗎嚊,{gaa gaa gaa}
㗎頭,{gaa gaa gaa} tau
架兩,{gaa gaa} {loeng loeng}
解,{gaai gaai haai}
監,{gaam gaam}
間房,{gaan gaan} fong
夾帶,{gaap gap} {daai daai*}
教,{gaau gaau}
近,{gan kan}
嘅嚊,{ge ge}
幾,{gei gei}
驚,{geng ging}
棘,{gik kik}
見,{gin jin}
件,{gin gin*}
勁,{ging ging}
勁嘢,{ging ging} je
堯哥,{go go*}
覺,{gok gaau}
告,{gou guk}
告一段落,{gou guk} jat dyun {lok laai}
觀,{gun gun}
供獻,{gung gung} hin
呱,{gwaa gu }
掛,{gwaa }
歸,{gwai }
蝦,{haa haa*}
吓,{haa haa haa}
暇,{haa haa}
下火,{haa haa} fo
嚇,{haak haa}
吼,{haau hau hau hau}
校,{haau gaau}
刻,{hak haak kaan}
黑,{hak haak}
黑手,{hak haak} sau
冚,{ham kam}
行,{hang haang hong hang}
行期,{hang haang hong hang} kei
行事,{hang haang hong hang} si
衡,{hang waang}
恰,{hap }
合,{hap ho gap}
乞,{hat hei}
核,{hat wat}
噓,{heoi hoe}
去去去,{heoi heoi} {heoi heoi} {heoi heoi}
去九龍塘,{heoi heoi} gau lung tong
去蒲,{heoi heoi} pou
去水,{heoi heoi} seoi
去威,{heoi heoi} wai
輕,{hing heng}
輕舟,{hing heng} zau
興,{hing hing}
脅,{hip }
苛政,{ho } zing
何故,{ho } gu
荷,{ho ho}
看,{hon hon}
汗,{hon hon}
好到極,{hou hou} {dou dou*} gik
好放,{hou hou} fong
好激,{hou hou} gik
好境,{hou hou} ging
好閒,{hou hou} haan
好恨,{hou hou} han
好路數,{hou hou} lou sou
好猛,{hou hou} maang
好想,{hou hou} soeng
號,{hou hou}
圈,{hyun gyun}
廿,{jaa je nim}
曳,{jai jai jai}
吟,{jam ngam}
恩,{jan}
印,{jan{
有文有路,{jau jau} {man man* man} jau lou
有種,{jau jau} {zung zung}
有情人終成眷屬,{jau jau} cing jan zung {sing seng} gyun suk
有創意,{jau jau} cong ji
有分寸,{jau jau} fan cyun
有feel,{jau jau} feel
有今日,{jau jau} gam jat
有怪莫怪,{jau jau} gwaai mok gwaai
有一手,{jau jau} jat sau
有眼光,{jau jau} ngaan gwong
贏,{jeng jing}
衣,{ji ji}
倚,{ji }
姨,{ji ji*}
易,{ji jik}
演,{jin jin}
應,{jing jing}
迎,{jing }
醃,{jip jim}
妖,{jiu jiu}
若,{joek je}
若有所失,{joek je} {jau jau} so sat
仰仗,{joeng ngong} {zoeng zoeng}
樣,{joeng joeng*}
玉,{juk juk*}
玉人,{juk juk*} jan
雨,{jyu jyu}
丸,{jyun jyun}
院,{jyun jyun}
契,{kai kit sit }
契家婆,{kai kit sit } gaa po*
鯁,{kang gang}
溝,{kau gau}
鳩,{kau gau}
鳩噏,{kau gau} {ngap ap}
茄,{ke ke gaa}
騎,{ke kei}
祇,{kei zi}
祇不過,{kei zi} bat gwo
企,{kei kei*}
企埋一邊,{kei kei*} maai jat bin
橋,{kiu kiu}
強,{koeng koeng goeng}
狂飲,{kong kwong} jam
拉開,{laai laai laap} hoi
拉拉扯扯,{laai laai laap} laai ce ce
攬,{laam laam laam}
冷,{laang laang*}
立,{laap lap}
嚟欸,{lai lei}
冧,{lam lam}
叻,{lek lik lak}
靚,{leng leng zing}
靈氣,{ling leng} hei
領,{ling leng}
撩,{liu liu liu}
料,{liu liu}
兩,{loeng loeng}
兩粒,{loeng loeng} {nap lap}
兩粒花,{loeng loeng} {nap lap} faa
兩味,{loeng loeng} mei
落,{lok laai}
䟕落,{lok laai}
落湯雞,{lok laai} {tong soeng} gai
落仔,{lok laai} {zai zi}
落格,{lok laai} gaak
落腳,{lok laai} goek
落樓,{lok laai} lau
落面,{lok laai} min
落山,{lok laai} saan
落莊,{lok laai} zong
啷,{long long}
撈,{lou laau }
撈女,{lou laau } {neoi neoi}
撈唔掂,{lou laau } m dim
撈世界,{lou laau } sai gaai
籠,{lung lung}
攣,{lyun lyun}
戀,{lyun lyun}
抹,{maat mut mut}
咪書,{mai mai mai} syu
嘜,{mak maak}
麥,{mak maak}
蚊,{man man}
蚊,{man man}
蚊都瞓,{man man} dou fan
文,{man man* man}
掹,{mang mang}
乜,{mat me }
乜柒,{mat me } cat
乜水,{mat me } seoi
名,{ming meng}
命,{ming meng}
廟,{miu miu*}
剝,{mok }
妹釘,{mui mui* mui*} {deng ding}
矇,{mung mung}
難,{naan naan}
泥,{nai nei }
諗,{nam sam}
諗掂,{nam sam} {dim dim dim}
諗唔開,{nam sam} m hoi
撚,{nan nin}
撚樣,{nan nin} {joeng joeng*}
撚開,{nan nin} hoi
粒,{nap lap}
粒花,{nap lap} faa
粒鐘,{nap lap} zung
女,{neoi neoi}
女招待,{neoi neoi} ziu doi
硬,{ngaang }
硬嘢,{ngaang } je
硬晒,{ngaang } saai
奀,{ngan an}
噏,{ngap ap}
噏乜春,{ngap ap} mat ceon
勾,{ngau gau}
鵝,{ngo ngo*}
戇,{ngong zong}
熬,{ngou ngaau}
黏,{nim nim}
惡,{ok wu wu}
惡人,{ok wu wu} jan
惡晒,{ok wu wu} saai
澳,{ou juk }
扒,{paa paa paa}
扒飯,{paa paa paa} faan
扒嘢,{paa paa paa} je
拍得住,{paak paak*} dak zyu
拍完,{paak paak*} jyun
拍心口,{paak paak*} sam hau
拍住上,{paak paak*} zyu {soeng soeng}
炮,{paau baau }
炮房,{paau baau } fong
刨,{paau paau*}
皮,{pei pei*}
皮嘢,{pei pei*} je
劈,{pek pik}
平,"{peng,ping}"
片,{pin pin}
嫖,{piu piu}
仆,{puk fu}
仆到,{puk fu} {dou dou*}
仆到去,{puk fu} {dou dou*} {heoi heoi}
仆你個街,{puk fu} nei go gaai
盤,{pun pun*}
三,{saam saam}
三從四德,{saam saam} cung sei dak
三衰六旺,{saam saam} seoi luk wong
三劃,{saam saam} waak
散,{saan saan}
散貨,{saan saan} fo
散晒,{saan saan} saai
生,{saang sang}
鄔生,{saang sang}
生耦,{saang sang}
生招牌,{saang sang} ziu paai
省,{saang sing}
使,{sai si si}
呻,{san san}
腎,{san san}
拾,{sap sip}
羞,{sau cau}
守約,{sau sau} joek
仇,{sau cau kau}
蛇,{se ji seu}
蛇鼠一窩,{se ji seu} syu jat wo
射,{se }
腥,{seng sing}
施施然,{si } {si } jin
思,{si si soi}
試,{si si}
骰,{sik tau}
識,{sik zi}
識撈,{sik zi} {lou laau }
蝕,{sik sit}
食,{sik zi}
食錯藥,{sik zi} {co cok cou} joek
食硬,{sik zi} {ngaang }
食塵,{sik zi} can
食七咁食,{sik zi} cat gam {sik zi}
食得禾米多,{sik zi} dak wo mai do
食豆腐,{sik zi} dau fu
食洋腸,{sik zi} joeng coeng
食宵夜,{sik zi} siu je*
食雪糕,{sik zi} syut gou
食tea,{sik zi} tea
食自己,{sik zi} zi gei/gei*
聲,{sing seng}
醒,{sing seng}
醒醒定定,{sing seng} sing ding {ding deng}
醒少少,{sing seng} siu siu
姓,{sing seng}
勝,{sing sing}
成碌木咁,{sing seng} luk muk gam
乘,{sing sing }
盛,{sing sing}
剩,{sing zing}
攝高枕頭,{sip } gou zam tau
攝政,{sip } zing
少,{siu siu}
少有,{siu siu} {jau jau}
疏,{so so}
疏爽,{so so} song
相,{soeng soeng soeng*}
相戀,{soeng soeng soeng*} {lyun lyun}
相隨,{soeng soeng soeng*} ceoi
上,{soeng soeng}
上枱,{soeng soeng} {toi* toi}
上氣唔接下氣,{soeng soeng} hei m zip {haa haa} hei
上莊,{soeng soeng} zong
喪,{song song}
數,{sou sou sok}
數佬,{sou sou sok} lou
掃,{sou sou*}
說,{syut seoi jyut}
撻,{taat taat}
睇得開,{tai dai} dak hoi
睇開,{tai dai} hoi
睇肉,{tai dai} juk
睇唔過,{tai dai} m gwo
睇門口,{tai dai} mun hau
睇頭,{tai dai} tau
氹,{tam tam}
聽,{ting ting teng}
條,{tiu }
條仔,{tiu } {zai zi}
條賓周,{tiu } ban zau
條線,{tiu } sin
條針,{tiu } zam
糖,{tong tong}
斷,{tyun dyun dyun}
斷開,{tyun dyun dyun} hoi
華,{waa waa faa}
華仔,{waa waa faa} {zai zi}
話氣,{waa waa} hei
畫,{waak waa waa}
玩,{waan wun}
玩殘,{waan wun} caan
玩女人,{waan wun} neoi jan*
唯,{wai wai}
為,{wai wai}
搵快錢,{wan wan} faai cin*
搵水,{wan wan} seoi
暈,{wan wan}
王,{wong wong}
咋,{zaa zaa }
宅,{zaak zaak*}
爭,{zaang zang}
睜,{zaang zang}
仔,{zai zi}
枕,{zam }
浸,{zam }
擝噌,{zang cang}
質,{zat zi}
啫啫,{ze zoe} {ze zoe}
唧,{zek zik}
知,{zi zi}
知心,{zi zi} sam
姊,{zi }
精,{zing zeng}
精誠,{zing zeng} sing
正,{zing zing zeng}
淨,{zing zeng}
折,"{zit, sit}"
蕉,{ziu }
朝,{ziu ciu}
趙忠堯,{ziu } zung
張,{zoeng }
張華,{zoeng } {waa waa faa}
仗,{zoeng zoeng}
造,{zou cou}
中,{zung zung}
種下,{zung zung} {haa haa}
著,{zyu zoek zoek}
著落,{zyu zoek zoek} {lok laai}
著褲,{zyu zoek zoek} fu
轉,{zyun zyun}
鑽,{zyun }
澄清,cing cing dang cing
地道,dei dou dei dou
花,faa faa
廢物,fai mat fai mat
分子,fan zi fan zi
風化,fung faa fung faa
縫,fung fung
間,gaan gaan
教學,gaau hok gaau hok
車,geoi ge
結果,git gwo git gwo
過節,gwo zit gwo zit
下來,haa loi haa loi
哼,hang hng
空,hung hung
曲,kuk kuk
了,liu liu
量,loeng loeng
買賣,maai maai maai maai
説,seoi syut
制服,zai fuk zai fuk
將,zoeng zoeng
將,zoeng zoeng
漲,zoeng zoeng
種,zung zung
鴉片戰爭,a pin jin jang
阿爸,a ba*
阿寶,a bou
阿德,a dak
阿爹,a de
阿馮,a fung
阿拉,a laai
阿蘭,a laan
阿倫,a leun
阿媽,a ma
阿馬,a ma
亞馬遜,a ma seun
阿明,a ming
阿摩尼亞,a mo nei a
阿三,a saam
阿城,a sing
阿蘇,a sou
亞太區,a taai keui
阿爾卑斯,a yi bei si
阿爾卑斯山,a yi bei si saan
AA制,AA {establish; set up; control}
呀,aa
吖,aa
鴉,aa
吖嘛,aa maa
鴉烏婆,aa wu {po po*}
呀,aa
阿,aa
阿,aa
亞,aa
啊,aa 
啊,aa aa aa aa
阿伯,aa baak
阿差,aa caa
阿大,aa daai
阿飛,aa fei
阿肥,aa fei*
阿福,aa fuk
阿哥,aa go
阿姑,aa gu
阿公,aa gung
阿公嘅,aa gung {ge ge}
亞軍,aa gwan
阿爺,aa je
阿姨,aa ji*
阿二,aa ji*
阿舅,aa kau
阿麗,aa lai
阿六,aa luk
阿嫲,aa maa
阿妹,aa mui*; aamui*
阿女,aa neoi*
阿奀,aa ngan
阿婆,aa po
阿生,aa saang
阿嬸,aa sam
阿壽,aa sau
阿四,aa sei
阿聲,aa seng
阿嫂,aa sou
阿叔,aa suk
亞太,aa taai
阿頭,aa tau*
阿姐,aa ze*
阿豬,aa zyu
阿豬阿狗,aa zyu aa gau
哎,aai
挨,aai
哎呀,aai aa
埃塞俄比亞,aai choi ngo bei a
哎唷,aai jo
哎喲,aai jo
誒,aai
誒咧,aai {le le}
隘,aai
嗌交,aai gaau
握,aak (coll) ak (less popular lit)
呃秤,aak cing
呃鬼食豆腐,aak gwai sik dau fu
呃人,aak jan
呃,aak ngaak aak ak
鈪,aak
晏,aan
晏啲,aan di
晏覺,aan gaau
晏晝,aan zau
罌,aang
鴨,aap
鴨腳,aap goek
壓,aat
遏,aat
壓迫,aat bik
壓低,aat dai
押金,aat gam
壓抑,aat jik
壓力,aat lik
壓制,aat zai
押,aat|aap
拗柴,aau caai
拗頸,aau geng
拗撬,aau giu
哎吔,ai jaa
哎吔唷,ai jaa
矮,ai
矮人,ai yan
翳,ai
扼,ak
厄,ak (lit) aak (coll)
握緊,ak gan
握手,ak sau
厄運,ak wan
庵,am
揞,am
黯,am
黯然,am jin
暗,am
暗暗,am am
暗暗地,am am dei
暗病,am beng ; ngam bing
暗處,am chyu
暗地,am dei
暗訪,am fong
暗號,am hou
暗戰,am jin
暗戀,am lyun
暗示,am si
暗自,am zi
暗中,am zung
噏得就噏,ap dak zau ap
噏耷,ap dap
歐美,au mei
歐洲,au zau
嘔,au
嘔心,au sam
爸,ba
巴車,ba che
巴克,ba hak
巴黎,ba lai
芭蕾,ba leui
巴拿馬,ba na ma
巴西人,ba sai yan
巴斯,ba si
把握,ba ak
罷,ba
罷工,ba gung
巴,baa
叭,baa
芭,baa
巴閉,baa bai
巴辣,baa laat
芭蕾舞,baa leoi mou
巴士,baa si*
巴士站,baa si* zaam
爸爸,baa* baa
把,baa
靶,baa
把撚,baa {nan nin}
把這,baa {ze ze}
把火,baa fo
把關,baa gwaan
把鬼,baa gwai
把炮,baa paau
把手,baa sau
霸道,baa dou
霸位,baa wai*
霸王,baa wong
霸王雞,baa wong gai
霸王雞乸,baa wong gai naa
擺,baai
擺佈,baai bou
擺放,baai fong
擺款,baai fun
擺在,baai joi
擺明,baai ming
擺明車馬,baai ming geoi maa
擺門,baai mun
擺平,baai ping
擺上,baai seung
擺烏龍,baai wu lung*
擺酒,baai zau
拜,baai
拜佛,baai fat
拜訪,baai fong
拜年,baai nin
拜山,baai saan
拜託,baai tok
拜堂,baai tong
拜祭,baai zai
拜拜,baai* baai
拜拜!,baai* baai !
敗,baai
敗家,baai gaa
敗家仔,baai gaa zai
敗類,baai leui
敗壞,baai waai
百,baak
佰,baak
伯,baak
伯有,baak {jau jau}
伯伯,baak baak
百病,baak beng
百磅,baak bong
百度,baak dou
百分,baak fan
百分比,baak fan bei
百分之,baak fan zi
百分之百,baak fan zi baak
百分之十,baak fan zi sap
百貨,baak fo
百貨公司,baak fo gung si
伯父,baak fu*
百幾個,baak gei go
伯爺,baak je
伯爺婆,baak je* po*
百厭,baak jim
百強,baak keung
百老匯,baak lou wui
百萬,baak maan
伯明翰,baak ming hon
百無聊賴,baak mou liu laai
伯母,baak mou*
百慕達,baak mou daat
百年,baak nin
百年樹人,baak nin syu yan
百姓,baak sing
百勝,baak sing
伯爵,baak zoek
白,baak
白白,baak baak
白布,baak bou
白車,baak ce
白痴,baak chi
白痴仔,baak ci {zai zi}
白菜,baak coi
白髮,baak faat
白費,baak fai
白粉,baak fan
白鴿,baak gap
白過,baak gwo
白日夢,baak jat mung
白紙黑字,baak ji haak ji
白種,baak jung
白蘭地,baak laan* dei*
白蠟,baak laap
白領,baak leng
白臉,baak lim
白馬,baak maa
白馬王子,baak maa wong zi
白玫瑰,baak mui gwai
白眼,baak ngaan
白牌,baak paai*
白手,baak sau
白手興家,baak sau hing gaa
白色,baak sik
白食,baak sik
白小姐,baak siu ze
白雪,baak syut
白雪公主,baak syut gung jyu
白頭,baak tau
白頭到老,baak tau dou lou
白天,baak tin
白湯,baak tong
白話,baak waa*
白雲,baak wan
白日,baak yat
白玉,baak yuk
白酒,baak zau
白撞,baak zong
班,baan
頒佈,baan bou
班車,baan che
班次,baan ci
班機,baan gei
班固,baan gu
班友,baan jau
班馬,baan maa
班師,baan si
班長,baan zoeng
頒獎,baan zoeng
班主任,baan zyu jam
版,baan
板,baan
舨,baan
板斧,baan fu
版權,baan kyun
扮,baan
辦,baan
湴,baan
辦到,baan dou
辦公,baan gung
辦公室,baan gung sat
扮鬼扮馬,baan gwai baan maa
扮嘢,baan je
扮演,baan jin
辦理,baan lei
扮靚,baan leng
辦手續,baan sau juk
扮相,baan seung
辦事,baan si
辦事處,baan si cyu
辦妥,baan to
扮豬食老虎,baan zyu sik lou fu
繃,"baang,bang,maang"
八,baat
八佰伴,baat baak bun
八百萬,baat baak maan
八千,baat cin
八達通,baat daat tung
八度,baat dou
八方,baat fong
八個字,baat go zi
八卦,baat gwaa
八日,baat jat
八月,baat jyut
八月十五,baat jyut sap ng
八年,baat nin
八婆,baat po
八十,baat sap
八十八,baat sap baat
八十一,baat sap jat
八十六,baat sap luk
八十五,baat sap ng
八十年代,baat sap nin doi
八十歲,baat sap seui
八爪魚,baat zaau jyu
包,baau
鮑,baau
胞,baau
包車,baau {ce geoi}
包保,baau bou
包抄,baau caau
包管,baau gun
包裹,baau gwo
包含,baau ham
包起,baau hei
包容,baau jung
包括,baau kut
包尾,baau mei*/
包銀,baau ngan
包頭,baau tau
包圍,baau wai
包換,baau wun
包紮,baau zaat
包裝,baau zong
包租婆,baau zou po*
飽,baau
飽了,baau liu
飽滿,baau mun
飽食,baau sik
爆,baau
爆煲,baau bou
爆炒,baau chaau
爆大鑊,baau daai wok
爆發,baau faat
爆房,baau fong
爆陰毒,baau jam duk
爆冷,baau laang
爆料,baau liu*
爆棚,baau paang
爆炸,baau zaa
爆樽,baau zeon
鮑魚,baau* jyu
閉,bai
閉翳,bai ai/ngai
閉路電視,bai lou din si
閉幕,bai mok
弊,bai
敝,bai
陛,bai
弊傢伙,bai gaa fo
陛下,bai haa
北,bak
北歐,bak au
北非,bak fei
北方,bak fong
北極光,bak gik gwong
北京,bak ging
北京路,bak ging lou
北江,bak gong
北姑,bak gu
北海,bak hoi
北海道,bak hoi dou
北上,bak soeng
泵,bam
乓,bam
賓,ban
檳,ban
奔,ban
奔馳,ban ci
繽紛,ban fan
賓館,ban gun
賓客,ban haak
賓利,ban lei
賓佬,ban lou
賓妹,ban mui*
賓周,ban zau
賓周仔,ban zau {zai zi}
品,ban
稟,ban
品德,ban dak
品學,ban hok
品紅,ban hung
品綠,ban luk
品味,ban mei
稟神,ban san
品性,ban sing
品質,ban zat
殯儀館,ban ji gun
笨,ban
笨柒,ban cat
笨蛋,ban daan*
崩,bang
繃帶,bang daai*
繃緊,bang gan
崩潰,bang kui
不,bat
畢,bat
筆,bat
不變,bat bin
不必,bat bit
不測,bat cak
不出,bat cheut
不辭勞苦,bat chi lou fu
不清,bat ching
不稱,bat ching
不清楚,bat ching cho
不超過,bat chiu gwo
不速,bat chuk
不錯,bat co
不打自招,bat da ji jiu
不單,bat daan
不單止,bat daan zi
不得,bat dak
不得不,bat dak bat
不得已,bat dak ji
不得了,bat dak liu
不等,bat dang
不對,bat deoi
不定,bat ding
不當,bat dong
不斷,bat dyun
不分開,bat fan hoi
不分離,bat fan lei
不妨,bat fong
不負責任,bat fu jaak yam
畢加索,bat ga sok
不解,bat gaai
不敢,bat gam
不禁,bat gam
不近人情,bat gan yan ching
不久,bat gau
筆記,bat gei
不舉,bat geoi
不檢點,bat gim dim
不見,bat gin
不經意地,bat ging yi dei
畢竟,bat ging
不景,bat ging
不覺,bat gok
不高,bat gou
不高興,bat gou hing
不顧,bat gu
不歸路,bat gwai lou
不軌,bat gwai
不軌行為,bat gwai hang wai
不過,bat gwo
不過,bat gwo
不過不失,bat gwo bat sat
不客氣地,bat haak hei dei
不堪,bat ham
不堪設想,bat ham chit seung
不含糊,bat ham wu
不幸,bat hang
不吃,bat hek
不可,bat ho
不可避免,bat ho bei min
不可避免地,bat ho bei min dei
不可分,bat ho fan
不可行,bat ho hang
不可能,bat ho nang
不可挽回,bat ho wan wui
不可以,bat ho yi
不好的,bat hou dik
不好受,bat hou sau
不忍,bat jan
不一,bat jat
不一定,bat jat ding
不張,bat jeung
不宜,bat ji
不已,bat ji
不然,bat jin
畢業,bat jip
畢業生,bat jip saang
不要,bat jiu
不在乎地,bat joi fu dei
不容,bat jung
不用,bat jung
不如,bat jyu
不及,bat kap
不期,bat kei
不窮,bat kung
不愧,bat kwai
不離,bat lei
不利,bat lei
不論,bat leon
不兩立,bat leung laap
不良,bat loeng
筆錄,bat luk
不明白,bat ming baak
不無,bat mou
不滿,bat mun
不能,bat nang
不能不,bat nang bat
不能夠,bat nang gau
不能實現,bat nang sat yin
不嬲,bat nau
不外,bat ngoi
不外乎,bat ngoi fu
不安,bat on
不安全,bat on cyun
不怕地,bat pa dei
不平,bat ping
不平等,bat ping dang
不收,bat sau
不需,bat seoi
不需要,bat seui yiu
不順,bat seun
不相稱,bat seung chan
不思,bat si
不思進取,bat si jeun cheui
不時,bat si
不是,bat si
不惜,bat sik
不勝,bat sing
不成,bat sing
不少,bat siu
不小心,bat siu sam
不少人,bat siu yan
不相干,bat soeng gon
不停,bat ting
不停地,bat ting dei
筆挺,bat ting
不妥,bat to
不通氣,bat tung hei
不同,bat tung
不斷地,bat tyun dei
不懷好意地,bat waai hou yi dei
不為所動,bat wai so dung
不穩,bat wan
不穩定,bat wan ding
不義,bat yi
不應該,bat ying goi
不熱,bat yit
不遇,bat yu
不願,bat yun
不願意,bat yun yi
不容易,bat yung yi
不悅,bat yut
不醉無歸,bat zeoi mou {gwai }
不准,bat zeon
不盡,bat zeon
不知,bat zi
不知道,bat zi dou*
不知所謂,bat zi so wai
不止,bat zi
不至於,bat zi jyu
不自覺,bat zi gok
不值,bat zik
不正,bat zing
不再,bat zoi
不在乎,bat zoi fu
不足,bat zuk
不住,bat zyu
拔,bat
拔出,bat cheut
BB,BB
悲,bei
卑,bei
碑,bei
悲慘,bei caam
悲憤,bei fan
悲觀,bei gun
悲劇,bei kek
卑微,bei mei
悲哀,bei oi
卑鄙,bei pei
悲傷,bei soeng
悲酸,bei syun
悲嘆,bei taan
悲痛,bei tung
俾,bei
畀,bei
比,bei
彼,bei
髀,bei
比亞,bei a
彼此,bei ci
比賽,bei coi
比德,bei dak
彼得,bei dak
彼得堡,bei dak bou
畀返,bei faan
比較,bei gaau
比較比較,bei gaau bei gaau
比較多,bei gaau do
比較好,bei gaau hou
比較慢,bei gaau maan
比較少,bei gaau siu
比較鍾意,bei gaau zung ji
比起,bei hei
畀人,bei jan
畀人飛,bei jan fei
比如,bei jyu
比喻,bei jyu
畀佢,bei keoi
比例,bei lai
比率,bei leot
畀面,bei min*
俾面,bei min*
畀你,bei nei
畀我,bei ngo
俾心機,bei sam gei
畀心機,bei sam gei
比數,bei sou
比一下,bei yat ha
比如說,bei yu syut
庇,bei
臂,bei
秘,bei
庇祐,bei jau
秘訣,bei kyut
秘撈,bei lou
秘密,bei mat
秘密結社,bei mat git se
秘書,bei syu
秘書長,bei syu zoeng
庇護,bei wu
被,bei
避,bei
鼻,bei
備,bei
被迫,bei bik
被炒,bei chaau
被動,bei dung
被禁,bei gam
被禁止,bei gam ji
避忌,bei gei
被告,bei gou
被嚇,bei haak
避開,bei hoi
被揭開,bei kit hoi
鼻樑,bei leung
鼻敏感,bei man gam
被剝奪,bei mok dyut
鼻毛,bei mou
避難,bei naan
被判,bei pun
被判有罪,bei pun yau jeui
被殺,bei saat
鼻塞,bei sak
備受,bei sau
鼻涕,bei tai
避嫌,bei yim
鼻咽,bei yin
鼻咽癌,bei yin ngaam
鼻子,bei zi
餅,beng
餅乾,beng gon
病,beng (coll) bing (rare lit)
病變,beng bin
病情,beng cing
病毒性,beng duk sing
病房,beng fong [beng fong]
病君,beng gwan
病人,beng jan
病院,beng jyun
病菌,beng kwan
病貓,beng maau
病魔,beng mo
病死,beng sei
病痛,beng tung
病患,beng waan
Benz,Benz 
啤啤,bi* bi
逼,bik
碧,bik
璧,bik
壁,bik (lit) bek (coll)
迫,bik baak
壁燈,bik dang
逼虎跳牆,bik fu tiu coeng
逼近,bik gan
